ID,Nomination_ID,Jury_ID,Rating,Rating_Datetime,Active
163,80,drtusha13,85,57:40.0,1
164,84,drtusha13,80,58:01.1,1
165,90,drtusha13,50,58:17.5,1
166,91,drtusha13,65,23:25.6,1
167,100,drtusha13,55,23:50.2,1
168,112,drtusha13,52,24:17.0,1
169,115,drtusha13,75,24:39.5,1
170,120,drtusha13,80,25:03.1,1
171,121,drtusha13,45,25:24.2,1
172,122,drtusha13,50,25:50.0,1
173,126,drtusha13,65,26:19.1,1
174,131,drtusha13,48,26:43.7,1
175,137,drtusha13,60,27:03.0,1
176,140,drtusha13,90,27:20.4,1
177,2,drtusha13,55,27:42.7,1
178,5,drtusha13,75,28:03.7,1
179,7,drtusha13,40,28:26.7,1
180,9,drtusha13,35,28:46.0,1
181,17,drtusha13,75,34:55.7,1
182,19,drtusha13,48,35:21.9,1
183,37,drtusha13,70,35:46.7,1
184,48,drtusha13,55,36:15.9,1
185,49,drtusha13,55,36:37.2,1
186,53,drtusha13,48,37:09.1,1
187,73,drtusha13,65,37:32.3,1
188,85,drtusha13,55,37:48.6,1
189,86,drtusha13,65,38:30.0,1
190,87,drtusha13,60,38:54.8,1
191,97,drtusha13,70,39:25.5,1
192,98,drtusha13,78,39:53.5,1
193,107,drtusha13,60,40:16.6,1
194,116,drtusha13,60,40:39.1,1
195,136,drtusha13,55,40:57.5,1
196,1,drtusha13,25,42:08.4,1
197,6,drtusha13,20,43:10.6,1
198,10,drtusha13,82,49:26.4,1
199,11,drtusha13,24,50:16.1,1
200,18,drtusha13,40,51:57.5,1
201,20,drtusha13,30,53:25.3,1
202,41,drtusha13,35,57:26.5,1
203,52,drtusha13,70,07:54.4,1
204,57,drtusha13,70,10:11.2,1
205,79,drtusha13,78,22:48.7,1
206,81,drtusha13,88,27:43.3,1
207,70,drtusha13,78,15:07.2,1
208,40,drtusha13,85,15:41.3,1
209,46,drtusha13,82,16:15.8,1
210,51,drtusha13,87,16:55.6,1
211,63,drtusha13,82,17:31.3,1
212,69,drtusha13,84,18:00.0,1
213,64,drtusha13,90,23:33.3,1
214,82,drtusha13,95,27:16.4,1
215,129,drtusha13,94,34:31.5,1
216,134,drtusha13,80,35:13.7,1
217,102,drtusha13,92,35:43.5,1
218,93,drtusha13,90,36:17.4,1
219,127,drtusha13,90,38:22.1,1
220,92,drtusha13,75,39:53.5,1
221,135,drtusha13,80,41:39.0,1
222,103,drtusha13,15,42:27.6,1
223,133,drtusha13,50,43:29.4,1
224,124,drtusha13,70,44:42.1,1
225,94,drtusha13,45,45:35.7,1
226,12,drchand10,50,58:13.7,1
227,16,drchand10,40,58:24.3,1
228,39,drchand10,85,00:23.7,1
229,43,drchand10,45,01:36.3,1
230,47,drchand10,45,01:54.4,1
231,59,drchand10,45,02:06.8,1
232,62,drchand10,40,02:17.1,1
233,65,drchand10,90,03:45.4,1
234,66,drchand10,80,07:08.0,1
235,68,drchand10,65,07:33.5,1
236,72,drchand10,70,09:33.0,1
237,74,drchand10,70,11:07.6,1
238,80,drchand10,60,11:32.2,1
239,84,drchand10,80,11:54.8,1
240,90,drchand10,70,12:17.3,1
241,91,drchand10,80,15:02.1,1
242,100,drchand10,70,15:30.6,1
243,112,drchand10,50,15:44.5,1
244,115,drchand10,85,17:27.4,1
245,120,drchand10,75,18:10.9,1
246,121,drchand10,40,18:29.9,1
247,122,drchand10,35,18:42.2,1
248,126,drchand10,75,19:23.2,1
249,131,drchand10,65,20:09.0,1
250,137,drchand10,45,20:21.1,1
251,140,drchand10,90,20:51.4,1
252,12,drshinj4,65,08:26.8,1
253,16,drshinj4,60,08:14.0,1
254,39,drshinj4,75,08:00.2,1
255,2,drchand10,50,21:03.1,1
256,5,drchand10,40,21:15.4,1
257,7,drchand10,40,21:27.2,1
258,9,drchand10,35,21:38.3,1
259,17,drchand10,70,22:00.8,1
260,19,drchand10,55,22:17.3,1
